k,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,
iris,98.00,94.00,98.00,96.00,96.00,98.00,98.00,100.00,98.00,98.00,98.00,98.00,98.00,98.00,98.00,96.00,100.00,98.00,100.00,100.00,100.00,
poker_hand,51.94,55.49,54.53,56.32,55.73,56.89,56.32,57.28,56.77,57.48,57.13,57.67,57.42,57.82,57.59,57.90,57.74,57.97,57.84,58.04,57.93,
car_evaluation,61.98,73.96,68.40,69.62,64.58,65.45,62.67,63.37,63.37,67.53,66.49,70.49,68.23,70.31,69.27,70.49,68.75,69.10,68.40,68.40,67.19,
abalone,21.46,21.75,21.61,22.97,22.97,23.55,24.12,24.05,24.41,25.13,25.77,25.56,26.63,25.84,25.48,26.42,26.92,26.56,25.92,25.84,26.42,
wine,78.33,68.33,71.67,76.67,76.67,76.67,83.33,85.00,80.00,83.33,85.00,83.33,81.67,81.67,76.67,78.33,76.67,75.00,76.67,76.67,76.67,
breast_cancer_wisconsin,91.05,92.63,93.16,93.68,95.26,94.74,95.79,95.26,95.26,95.26,95.26,94.74,95.26,94.74,94.74,94.21,94.21,94.21,94.21,93.68,94.21,
bank_marketing,85.52,88.05,87.55,88.39,88.26,88.71,88.45,88.69,88.61,88.75,88.81,88.81,88.79,88.81,88.74,88.73,88.59,88.71,88.71,88.73,88.74,
