k,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,
iris,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,
poker_hand,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.12,50.12,50.12,50.12,
car_evaluation,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,
abalone,9.40,9.40,9.40,9.40,9.40,9.40,9.40,9.40,9.40,16.51,9.40,16.51,16.51,16.51,16.51,16.73,16.73,16.73,16.73,16.73,16.73,
wine,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,33.33,
breast_cancer_wisconsin,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,40.00,
bank_marketing,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,88.28,
