k,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,
iris,98.00,96.00,98.00,96.00,96.00,98.00,100.00,98.00,100.00,98.00,100.00,98.00,100.00,100.00,98.00,98.00,100.00,94.00,96.00,94.00,96.00,
poker_hand,51.06,54.90,53.86,55.67,55.18,56.40,55.90,56.79,56.40,57.06,56.76,57.26,57.10,57.46,57.32,57.57,57.43,57.64,57.55,57.74,57.70,
car_evaluation,61.98,73.96,68.40,69.62,64.58,65.45,62.67,63.37,63.19,66.49,65.28,68.23,67.19,69.10,67.01,68.23,66.67,67.36,65.80,65.97,64.93,
abalone,20.96,19.53,20.17,20.10,20.82,24.34,23.62,25.34,25.48,25.05,25.70,25.20,25.34,25.13,25.77,25.92,25.99,26.49,26.92,26.20,26.56,
wine,68.33,65.00,61.67,68.33,70.00,71.67,73.33,70.00,75.00,78.33,75.00,75.00,76.67,76.67,75.00,76.67,75.00,75.00,75.00,75.00,75.00,
breast_cancer_wisconsin,91.05,92.11,92.63,94.21,94.74,94.21,95.79,95.79,96.32,94.74,95.26,94.21,94.74,94.74,94.74,94.21,94.74,94.21,94.21,94.21,94.21,
bank_marketing,84.90,88.12,87.63,88.39,88.20,88.36,88.38,88.67,88.47,88.69,88.63,88.70,88.58,88.59,88.62,88.59,88.65,88.62,88.67,88.60,88.64,
